name,能量,蛋白质,脂肪,碳水化合物,不溶性膳食纤维,胆固醇,总维生素Aug,胡萝卜素ug,硫胺素mg（维B1）,核黄素mg（维B2）
面条（煮）,107,3.9,0.4,22.8,,,,,0.02,0.01
馒头,223,7,1.1,47,1.3,0,1,,0.04,0.05
油条,388,6.9,17.6,51,0.9,,2.7,,0.01,0.07
土豆煮,65,3.2,Tr,14.2,0.2,,1.1,,0.09,0.04
藕粉,373,0.2,Tr,93,0.1,0,,,Tr,0.01
豆腐脑,15,1.9,0.8,0,Tr,0,,,0.04,0.02
甜豆浆,34,2.4,0.5,4.9,0.1,0,,,0.04,0.02
苹果,53,0.4,0.2,13.7,1.7,0,4,50,0.02,0.02
梨,51,0.3,0.1,13.1,2.6,0,2,20,0.03,0.03
鲜枣,125,1.1,0.3,30.5,1.9,0,20,240,0.06,0.09
柿子,74,0.4,0.1,18.5,1.4,0,10,120,0.02,0.02
烤肉,153.73,11.95,8.92,6.63,0.3,45.9,16,73.2,,
燕麦粥,54,2.1,1,8.8,0.8,,,,0,0
鸡蛋白,60,11.6,0.1,3.1,,,,,0,0.3
紫薯,106,1.6,0.2,25.1,0.8,,,230,0.1,0
黑米饭,114,2.7,0.5,25.3,0.6,,,,0.1,0
苦瓜炒肉,88,3.7,6.7,4.2,1.1,10.7,19.3,79.2,0.1,0
炒白萝卜丝,16,0.7,0.1,4,,0,Tr,Tr,0.02,0.01
炒冬瓜,21,0.9,0.8,2.2,0.7,0,12.6,77.5,0,0
木耳炒肉片,75,5.7,4.2,5.5,1.8,12.4,3.2,13.5,0.1,0.1
素炒莴笋,47,1.3,2.8,3.8,1,,30.8,184.8,0,0
肉包,280,14.2,3.1,48.2,1.4,27,14.7,,0.4,0.1
米饭,116,2.6,0.3,25.9,0.3,0,0,0,0,0
红烧肉,470,7.7,46,5.1,0.1,83.2,8.2,1.4,0.1,0.1
母鸡汤,61,6.7,3.2,1.5,0.2,35.4,17,5.6,0,0
炒空心菜,46,2.3,2.7,2.5,1.4,,242.8,1458.4,0,0.1
回锅肉,447,7.4,45.2,3,0.4,70.9,22.8,97.9,0.1,0.1
素炒小白菜,46,1.6,3.3,1.9,1.1,,256.5,1539.2,0,0.1
啤酒,32,0.4,0,0,0,0,,,0.2,0
